id,segmentation,visit,spending,brand_type,ppa
92157,Seg.02 - Mass Asp (VND 25K - VND 59K),5,250,Independent,50
92182,Seg.02 - Mass Asp (VND 25K - VND 59K),4,200,Independent,50
92183,Seg.02 - Mass Asp (VND 25K - VND 59K),4,200,Chain,50
92200,Seg.01 - Mass (<VND 25K),2,30,Street,15
92200,Seg.02 - Mass Asp (VND 25K - VND 59K),1,50,Chain,50
92316,Seg.02 - Mass Asp (VND 25K - VND 59K),4,120,Independent,30
92316,Seg.02 - Mass Asp (VND 25K - VND 59K),8,400,Chain,50
92317,Seg.02 - Mass Asp (VND 25K - VND 59K),6,210,Chain,35
92564,Seg.01 - Mass (<VND 25K),2,40,Street,20
92564,Seg.03 - Premium (VND 60K - VND 99K),1,75,Independent,75
92584,Seg.01 - Mass (<VND 25K),7,140,Independent,20
92584,Seg.02 - Mass Asp (VND 25K - VND 59K),1,30,Chain,30
92610,Seg.02 - Mass Asp (VND 25K - VND 59K),12,300,Independent,25
92610,Seg.01 - Mass (<VND 25K),18,270,Street,15
92615,Seg.02 - Mass Asp (VND 25K - VND 59K),2,60,Independent,30
92615,Seg.02 - Mass Asp (VND 25K - VND 59K),10,500,Chain,50
92616,Seg.02 - Mass Asp (VND 25K - VND 59K),4,120,Chain,30
92622,Seg.02 - Mass Asp (VND 25K - VND 59K),5,150,Independent,30
92622,Seg.01 - Mass (<VND 25K),3,42,Street,14
92639,Seg.01 - Mass (<VND 25K),4,48,Street,12
92640,Seg.02 - Mass Asp (VND 25K - VND 59K),2,80,Chain,40
92641,Seg.01 - Mass (<VND 25K),12,144,Street,12
92690,Seg.01 - Mass (<VND 25K),30,360,Street,12
92719,Seg.03 - Premium (VND 60K - VND 99K),1,60,Chain,60
92719,Seg.02 - Mass Asp (VND 25K - VND 59K),3,75,Independent,25
92738,Seg.02 - Mass Asp (VND 25K - VND 59K),3,120,Chain,40
92810,Seg.01 - Mass (<VND 25K),2,44,Independent,22
92810,Seg.01 - Mass (<VND 25K),1,15,Street,15
92812,Seg.02 - Mass Asp (VND 25K - VND 59K),1,30,Independent,30
92812,Seg.01 - Mass (<VND 25K),2,30,Street,15
92813,Seg.01 - Mass (<VND 25K),4,60,Street,15
92815,Seg.02 - Mass Asp (VND 25K - VND 59K),2,50,Independent,25
92815,Seg.02 - Mass Asp (VND 25K - VND 59K),2,112,Chain,56
92816,Seg.01 - Mass (<VND 25K),6,78,Street,13
92816,Seg.02 - Mass Asp (VND 25K - VND 59K),4,140,Chain,35
92820,Seg.02 - Mass Asp (VND 25K - VND 59K),5,250,Chain,50
92820,Seg.01 - Mass (<VND 25K),3,60,Street,20
92821,Seg.02 - Mass Asp (VND 25K - VND 59K),8,400,Independent,50
92821,Seg.03 - Premium (VND 60K - VND 99K),14,1120,Chain,80
92821,Seg.01 - Mass (<VND 25K),2,44,Street,22
92839,Seg.02 - Mass Asp (VND 25K - VND 59K),4,220,Chain,55
92874,Seg.01 - Mass (<VND 25K),30,450,Street,15
92875,Seg.02 - Mass Asp (VND 25K - VND 59K),3,75,Street,25
92875,Seg.02 - Mass Asp (VND 25K - VND 59K),6,240,Independent,40
92918,Seg.01 - Mass (<VND 25K),30,360,Street,12
92972,Seg.01 - Mass (<VND 25K),2,30,Independent,15
92972,Seg.01 - Mass (<VND 25K),7,84,Street,12
93048,Seg.01 - Mass (<VND 25K),30,300,Street,10
93050,Seg.01 - Mass (<VND 25K),24,240,Street,10
93066,Seg.02 - Mass Asp (VND 25K - VND 59K),1,35,Chain,35
93066,Seg.01 - Mass (<VND 25K),2,36,Street,18
93165,Seg.02 - Mass Asp (VND 25K - VND 59K),30,780,Street,26
93166,Seg.01 - Mass (<VND 25K),2,44,Independent,22
93167,Seg.01 - Mass (<VND 25K),3,60,Independent,20
93167,Seg.01 - Mass (<VND 25K),1,15,Street,15
93168,Seg.01 - Mass (<VND 25K),10,230,Street,23
93168,Seg.02 - Mass Asp (VND 25K - VND 59K),20,800,Chain,40
93183,Seg.01 - Mass (<VND 25K),20,400,Street,20
93183,Seg.02 - Mass Asp (VND 25K - VND 59K),10,400,Chain,40
93185,Seg.01 - Mass (<VND 25K),3,45,Street,15
93185,Seg.02 - Mass Asp (VND 25K - VND 59K),1,40,Chain,40
93186,Seg.02 - Mass Asp (VND 25K - VND 59K),4,100,Independent,25
93188,Seg.01 - Mass (<VND 25K),3,36,Street,12
93191,Seg.02 - Mass Asp (VND 25K - VND 59K),8,240,Street,30
93191,Seg.02 - Mass Asp (VND 25K - VND 59K),2,80,Chain,40
93207,Seg.01 - Mass (<VND 25K),4,60,Independent,15
93327,Seg.02 - Mass Asp (VND 25K - VND 59K),12,540,Chain,45
93328,Seg.02 - Mass Asp (VND 25K - VND 59K),2,100,Chain,50
93328,Seg.01 - Mass (<VND 25K),10,150,Street,15
93385,Seg.01 - Mass (<VND 25K),10,150,Street,15
93385,Seg.02 - Mass Asp (VND 25K - VND 59K),6,330,Chain,55
93386,Seg.02 - Mass Asp (VND 25K - VND 59K),4,140,Chain,35
93387,Seg.02 - Mass Asp (VND 25K - VND 59K),5,250,Chain,50
93388,Seg.02 - Mass Asp (VND 25K - VND 59K),4,200,Chain,50
93389,Seg.01 - Mass (<VND 25K),24,288,Street,12
93390,Seg.01 - Mass (<VND 25K),2,24,Street,12
93391,Seg.02 - Mass Asp (VND 25K - VND 59K),5,250,Chain,50
93392,Seg.01 - Mass (<VND 25K),5,60,Street,12
93979,Seg.01 - Mass (<VND 25K),4,80,Independent,20
93980,Seg.01 - Mass (<VND 25K),24,288,Independent,12
93981,Seg.02 - Mass Asp (VND 25K - VND 59K),6,270,Independent,45
93981,Seg.02 - Mass Asp (VND 25K - VND 59K),2,60,Chain,30
93982,Seg.02 - Mass Asp (VND 25K - VND 59K),6,300,Independent,50
93982,Seg.02 - Mass Asp (VND 25K - VND 59K),2,60,Chain,30
94027,Seg.02 - Mass Asp (VND 25K - VND 59K),8,400,Chain,50
94132,Seg.03 - Premium (VND 60K - VND 99K),8,480,Chain,60
94133,Seg.04 - Super Premium (VND 100K+),4,400,Chain,100
94134,Seg.01 - Mass (<VND 25K),30,600,Street,20
94136,Seg.02 - Mass Asp (VND 25K - VND 59K),7,280,Chain,40
94137,Seg.03 - Premium (VND 60K - VND 99K),30,2100,Chain,70
94138,Seg.03 - Premium (VND 60K - VND 99K),3,180,Chain,60
94201,Seg.01 - Mass (<VND 25K),26,260,Street,10
94201,Seg.01 - Mass (<VND 25K),4,80,Independent,20
94202,Seg.01 - Mass (<VND 25K),4,68,Independent,17
94202,Seg.01 - Mass (<VND 25K),1,10,Street,10
94203,Seg.01 - Mass (<VND 25K),30,300,Independent,10
94204,Seg.01 - Mass (<VND 25K),30,360,Independent,12
94204,Seg.01 - Mass (<VND 25K),2,16,Street,8
94205,Seg.01 - Mass (<VND 25K),8,96,Independent,12
94205,Seg.01 - Mass (<VND 25K),20,240,Chain,12
94205,Seg.01 - Mass (<VND 25K),2,16,Street,8
94206,Seg.01 - Mass (<VND 25K),8,96,Independent,12
94210,Seg.02 - Mass Asp (VND 25K - VND 59K),4,200,Chain,50
94211,Seg.01 - Mass (<VND 25K),4,60,Street,15
94214,Seg.01 - Mass (<VND 25K),4,60,Street,15
94214,Seg.02 - Mass Asp (VND 25K - VND 59K),4,160,Chain,40
94215,Seg.03 - Premium (VND 60K - VND 99K),8,480,Chain,60
94216,Seg.01 - Mass (<VND 25K),4,48,Street,12
94225,Seg.03 - Premium (VND 60K - VND 99K),12,1080,Chain,90
94226,Seg.01 - Mass (<VND 25K),6,72,Street,12
94226,Seg.02 - Mass Asp (VND 25K - VND 59K),2,80,Chain,40
94227,Seg.02 - Mass Asp (VND 25K - VND 59K),4,200,Chain,50
94647,Seg.01 - Mass (<VND 25K),30,300,Street,10
94741,Seg.01 - Mass (<VND 25K),16,192,Street,12
94803,Seg.02 - Mass Asp (VND 25K - VND 59K),8,200,Street,25
94804,Seg.01 - Mass (<VND 25K),2,40,Independent,20
94804,Seg.01 - Mass (<VND 25K),1,17,Street,17
94805,Seg.02 - Mass Asp (VND 25K - VND 59K),8,440,Chain,55
94806,Seg.02 - Mass Asp (VND 25K - VND 59K),11,275,Independent,25
94806,Seg.01 - Mass (<VND 25K),1,16,Street,16
94838,Seg.01 - Mass (<VND 25K),24,288,Street,12
94868,Seg.01 - Mass (<VND 25K),20,200,Street,10
94868,Seg.02 - Mass Asp (VND 25K - VND 59K),4,180,Chain,45
94869,Seg.01 - Mass (<VND 25K),10,100,Street,10
94870,Seg.01 - Mass (<VND 25K),12,144,Street,12
94871,Seg.01 - Mass (<VND 25K),12,120,Street,10
94981,Seg.01 - Mass (<VND 25K),20,200,Independent,10
94981,Seg.01 - Mass (<VND 25K),1,15,Chain,15
94981,Seg.01 - Mass (<VND 25K),9,90,Street,10
94984,Seg.02 - Mass Asp (VND 25K - VND 59K),10,250,Independent,25
94985,Seg.03 - Premium (VND 60K - VND 99K),10,600,Chain,60
94986,Seg.02 - Mass Asp (VND 25K - VND 59K),2,50,Independent,25
94986,Seg.01 - Mass (<VND 25K),2,30,Street,15
94987,Seg.02 - Mass Asp (VND 25K - VND 59K),9,270,Independent,30
94988,Seg.02 - Mass Asp (VND 25K - VND 59K),2,100,Chain,50
94988,Seg.01 - Mass (<VND 25K),1,15,Street,15
94991,Seg.02 - Mass Asp (VND 25K - VND 59K),3,150,Chain,50
95051,Seg.01 - Mass (<VND 25K),15,150,Street,10
95052,Seg.02 - Mass Asp (VND 25K - VND 59K),1,55,Chain,55
95052,Seg.01 - Mass (<VND 25K),3,36,Street,12
95055,Seg.01 - Mass (<VND 25K),4,80,Chain,20
95189,Seg.02 - Mass Asp (VND 25K - VND 59K),12,480,Independent,40
95190,Seg.01 - Mass (<VND 25K),20,200,Street,10
95191,Seg.01 - Mass (<VND 25K),5,75,Street,15
95192,Seg.01 - Mass (<VND 25K),12,192,Independent,16
95193,Seg.02 - Mass Asp (VND 25K - VND 59K),5,250,Chain,50
95250,Seg.01 - Mass (<VND 25K),3,45,Street,15
95252,Seg.01 - Mass (<VND 25K),30,360,Street,12
95253,Seg.02 - Mass Asp (VND 25K - VND 59K),3,90,Chain,30
95254,Seg.01 - Mass (<VND 25K),1,12,Street,12
95254,Seg.02 - Mass Asp (VND 25K - VND 59K),4,140,Chain,35
95719,Seg.02 - Mass Asp (VND 25K - VND 59K),8,200,Independent,25
95720,Seg.01 - Mass (<VND 25K),23,345,Street,15
95720,Seg.02 - Mass Asp (VND 25K - VND 59K),7,210,Independent,30
95723,Seg.02 - Mass Asp (VND 25K - VND 59K),6,156,Independent,26
95723,Seg.01 - Mass (<VND 25K),3,42,Street,14
95725,Seg.01 - Mass (<VND 25K),1,15,Street,15
95725,Seg.01 - Mass (<VND 25K),3,60,Independent,20
95727,Seg.02 - Mass Asp (VND 25K - VND 59K),1,30,Independent,30
95727,Seg.01 - Mass (<VND 25K),3,60,Street,20
95729,Seg.01 - Mass (<VND 25K),4,80,Independent,20
95729,Seg.01 - Mass (<VND 25K),6,108,Street,18
95731,Seg.01 - Mass (<VND 25K),3,45,Street,15
95731,Seg.01 - Mass (<VND 25K),1,20,Independent,20
95733,Seg.02 - Mass Asp (VND 25K - VND 59K),9,225,Independent,25
95770,Seg.01 - Mass (<VND 25K),30,450,Independent,15
95771,Seg.01 - Mass (<VND 25K),4,40,Street,10
95772,Seg.01 - Mass (<VND 25K),3,21,Street,7
95772,Seg.01 - Mass (<VND 25K),2,20,Independent,10
95773,Seg.01 - Mass (<VND 25K),8,80,Street,10
95834,Seg.03 - Premium (VND 60K - VND 99K),2,120,Chain,60
95834,Seg.02 - Mass Asp (VND 25K - VND 59K),4,100,Independent,25
95834,Seg.01 - Mass (<VND 25K),2,24,Street,12
95847,Seg.01 - Mass (<VND 25K),5,75,Street,15
95848,Seg.01 - Mass (<VND 25K),20,200,Street,10
95908,Seg.02 - Mass Asp (VND 25K - VND 59K),10,500,Independent,50
95908,Seg.01 - Mass (<VND 25K),20,400,Street,20
95909,Seg.03 - Premium (VND 60K - VND 99K),2,130,Chain,65
95909,Seg.01 - Mass (<VND 25K),8,96,Street,12
95909,Seg.02 - Mass Asp (VND 25K - VND 59K),20,700,Independent,35
95910,Seg.02 - Mass Asp (VND 25K - VND 59K),30,1500,Chain,50
95911,Seg.01 - Mass (<VND 25K),20,400,Street,20
95912,Seg.03 - Premium (VND 60K - VND 99K),8,480,Chain,60
95912,Seg.01 - Mass (<VND 25K),2,24,Street,12
95913,Seg.02 - Mass Asp (VND 25K - VND 59K),8,240,Chain,30
96122,Seg.02 - Mass Asp (VND 25K - VND 59K),5,275,Chain,55
96306,Seg.01 - Mass (<VND 25K),29,290,Street,10
96306,Seg.02 - Mass Asp (VND 25K - VND 59K),1,55,Chain,55
96307,Seg.02 - Mass Asp (VND 25K - VND 59K),4,120,Independent,30
96308,Seg.02 - Mass Asp (VND 25K - VND 59K),2,80,Independent,40
96500,Seg.02 - Mass Asp (VND 25K - VND 59K),1,50,Chain,50
96500,Seg.01 - Mass (<VND 25K),7,70,Street,10
96542,Seg.01 - Mass (<VND 25K),5,50,Street,10
96542,Seg.01 - Mass (<VND 25K),5,100,Chain,20
96566,Seg.02 - Mass Asp (VND 25K - VND 59K),8,400,Chain,50
96567,Seg.02 - Mass Asp (VND 25K - VND 59K),8,400,Chain,50
96567,Seg.01 - Mass (<VND 25K),4,48,Street,12
96568,Seg.02 - Mass Asp (VND 25K - VND 59K),1,28,Independent,28
96568,Seg.01 - Mass (<VND 25K),2,28,Street,14
96598,Seg.02 - Mass Asp (VND 25K - VND 59K),3,75,Independent,25
96598,Seg.01 - Mass (<VND 25K),1,17,Street,17
96599,Seg.01 - Mass (<VND 25K),2,30,Street,15
96599,Seg.01 - Mass (<VND 25K),2,40,Independent,20
96600,Seg.01 - Mass (<VND 25K),2,30,Street,15
96601,Seg.01 - Mass (<VND 25K),3,45,Street,15
96601,Seg.01 - Mass (<VND 25K),5,120,Independent,24
96602,Seg.01 - Mass (<VND 25K),8,120,Street,15
96602,Seg.01 - Mass (<VND 25K),12,240,Independent,20
96719,Seg.01 - Mass (<VND 25K),3,45,Street,15
96719,Seg.01 - Mass (<VND 25K),1,20,Independent,20
97076,Seg.02 - Mass Asp (VND 25K - VND 59K),8,240,Independent,30
97076,Seg.02 - Mass Asp (VND 25K - VND 59K),12,360,Chain,30
97077,Seg.02 - Mass Asp (VND 25K - VND 59K),4,200,Chain,50
97078,Seg.02 - Mass Asp (VND 25K - VND 59K),3,150,Chain,50
97079,Seg.02 - Mass Asp (VND 25K - VND 59K),6,240,Independent,40
97079,Seg.02 - Mass Asp (VND 25K - VND 59K),2,50,Street,25
97088,Seg.02 - Mass Asp (VND 25K - VND 59K),2,60,Chain,30
97089,Seg.02 - Mass Asp (VND 25K - VND 59K),1,25,Independent,25
97089,Seg.02 - Mass Asp (VND 25K - VND 59K),1,25,Street,25
97090,Seg.02 - Mass Asp (VND 25K - VND 59K),1,30,Independent,30
97090,Seg.02 - Mass Asp (VND 25K - VND 59K),2,100,Chain,50
97091,Seg.03 - Premium (VND 60K - VND 99K),2,120,Chain,60
97091,Seg.02 - Mass Asp (VND 25K - VND 59K),1,30,Street,30
97099,Seg.02 - Mass Asp (VND 25K - VND 59K),1,25,Independent,25
97099,Seg.02 - Mass Asp (VND 25K - VND 59K),2,100,Chain,50
97100,Seg.01 - Mass (<VND 25K),1,20,Street,20
97100,Seg.02 - Mass Asp (VND 25K - VND 59K),3,105,Independent,35
97103,Seg.02 - Mass Asp (VND 25K - VND 59K),4,140,Independent,35
97109,Seg.02 - Mass Asp (VND 25K - VND 59K),8,240,Independent,30
97111,Seg.02 - Mass Asp (VND 25K - VND 59K),5,200,Chain,40
97111,Seg.02 - Mass Asp (VND 25K - VND 59K),5,125,Independent,25
97112,Seg.01 - Mass (<VND 25K),10,100,Street,10
97112,Seg.02 - Mass Asp (VND 25K - VND 59K),2,50,Independent,25
97112,Seg.02 - Mass Asp (VND 25K - VND 59K),8,320,Chain,40
97143,Seg.01 - Mass (<VND 25K),5,100,Independent,20
97143,Seg.01 - Mass (<VND 25K),4,72,Street,18
97144,Seg.01 - Mass (<VND 25K),2,30,Street,15
97144,Seg.02 - Mass Asp (VND 25K - VND 59K),6,150,Independent,25
97152,Seg.01 - Mass (<VND 25K),28,280,Street,10
97153,Seg.02 - Mass Asp (VND 25K - VND 59K),2,100,Chain,50
97195,Seg.01 - Mass (<VND 25K),4,64,Independent,16
97195,Seg.03 - Premium (VND 60K - VND 99K),2,120,Chain,60
97195,Seg.01 - Mass (<VND 25K),4,40,Street,10
97202,Seg.01 - Mass (<VND 25K),2,36,Independent,18
97203,Seg.01 - Mass (<VND 25K),20,160,Street,8
97203,Seg.01 - Mass (<VND 25K),10,100,Chain,10
97203,Seg.01 - Mass (<VND 25K),30,300,Independent,10
97213,Seg.01 - Mass (<VND 25K),2,20,Independent,10
97213,Seg.01 - Mass (<VND 25K),10,80,Street,8
97223,Seg.01 - Mass (<VND 25K),4,48,Street,12
97224,Seg.01 - Mass (<VND 25K),4,32,Street,8
97229,Seg.01 - Mass (<VND 25K),5,60,Independent,12
97230,Seg.01 - Mass (<VND 25K),4,48,Independent,12
97234,Seg.02 - Mass Asp (VND 25K - VND 59K),4,200,Chain,50
97473,Seg.03 - Premium (VND 60K - VND 99K),2,120,Chain,60
97473,Seg.02 - Mass Asp (VND 25K - VND 59K),1,25,Street,25
97474,Seg.02 - Mass Asp (VND 25K - VND 59K),3,90,Independent,30
97476,Seg.02 - Mass Asp (VND 25K - VND 59K),2,60,Independent,30
97476,Seg.02 - Mass Asp (VND 25K - VND 59K),10,500,Chain,50
97484,Seg.02 - Mass Asp (VND 25K - VND 59K),2,80,Chain,40
97485,Seg.02 - Mass Asp (VND 25K - VND 59K),6,180,Independent,30
97485,Seg.01 - Mass (<VND 25K),4,80,Street,20
97487,Seg.02 - Mass Asp (VND 25K - VND 59K),2,60,Independent,30
97488,Seg.02 - Mass Asp (VND 25K - VND 59K),2,90,Independent,45
97492,Seg.02 - Mass Asp (VND 25K - VND 59K),3,120,Independent,40
97493,Seg.02 - Mass Asp (VND 25K - VND 59K),2,80,Independent,40
97493,Seg.02 - Mass Asp (VND 25K - VND 59K),2,80,Chain,40
97496,Seg.02 - Mass Asp (VND 25K - VND 59K),3,105,Chain,35
97496,Seg.02 - Mass Asp (VND 25K - VND 59K),1,30,Independent,30
97497,Seg.04 - Super Premium (VND 100K+),2,200,Chain,100
97501,Seg.02 - Mass Asp (VND 25K - VND 59K),1,30,Street,30
97501,Seg.02 - Mass Asp (VND 25K - VND 59K),1,40,Chain,40
97501,Seg.02 - Mass Asp (VND 25K - VND 59K),2,70,Independent,35
97503,Seg.02 - Mass Asp (VND 25K - VND 59K),4,180,Chain,45
97504,Seg.02 - Mass Asp (VND 25K - VND 59K),3,105,Independent,35
97506,Seg.02 - Mass Asp (VND 25K - VND 59K),3,105,Independent,35
97506,Seg.02 - Mass Asp (VND 25K - VND 59K),2,100,Chain,50
97507,Seg.02 - Mass Asp (VND 25K - VND 59K),10,300,Independent,30
97509,Seg.02 - Mass Asp (VND 25K - VND 59K),3,90,Independent,30
97511,Seg.02 - Mass Asp (VND 25K - VND 59K),4,140,Independent,35
97512,Seg.02 - Mass Asp (VND 25K - VND 59K),8,240,Independent,30
97513,Seg.02 - Mass Asp (VND 25K - VND 59K),4,100,Street,25
97516,Seg.02 - Mass Asp (VND 25K - VND 59K),6,240,Chain,40
97516,Seg.02 - Mass Asp (VND 25K - VND 59K),1,35,Independent,35
97516,Seg.02 - Mass Asp (VND 25K - VND 59K),3,105,Street,35
97536,Seg.02 - Mass Asp (VND 25K - VND 59K),4,160,Independent,40
97695,Seg.01 - Mass (<VND 25K),1,20,Street,20
97695,Seg.02 - Mass Asp (VND 25K - VND 59K),2,60,Independent,30
97697,Seg.02 - Mass Asp (VND 25K - VND 59K),3,90,Independent,30
97697,Seg.02 - Mass Asp (VND 25K - VND 59K),1,40,Chain,40
98051,Seg.02 - Mass Asp (VND 25K - VND 59K),2,60,Independent,30
98052,Seg.04 - Super Premium (VND 100K+),4,400,Chain,100
98053,Seg.03 - Premium (VND 60K - VND 99K),2,140,Chain,70
98081,Seg.01 - Mass (<VND 25K),2,20,Chain,10
98081,Seg.01 - Mass (<VND 25K),10,100,Independent,10
98099,Seg.01 - Mass (<VND 25K),30,300,Independent,10
98100,Seg.01 - Mass (<VND 25K),8,96,Independent,12
98101,Seg.01 - Mass (<VND 25K),6,120,Independent,20
98102,Seg.01 - Mass (<VND 25K),2,40,Chain,20
98102,Seg.01 - Mass (<VND 25K),6,120,Independent,20
98107,Seg.01 - Mass (<VND 25K),75,750,Independent,10
98113,Seg.02 - Mass Asp (VND 25K - VND 59K),1,25,Independent,25
98113,Seg.01 - Mass (<VND 25K),2,40,Street,20
98114,Seg.01 - Mass (<VND 25K),6,60,Independent,10
98114,Seg.01 - Mass (<VND 25K),14,98,Street,7
98115,Seg.01 - Mass (<VND 25K),30,240,Street,8
98115,Seg.01 - Mass (<VND 25K),30,450,Independent,15
98116,Seg.01 - Mass (<VND 25K),30,240,Street,8
98117,Seg.01 - Mass (<VND 25K),4,28,Street,7
98119,Seg.01 - Mass (<VND 25K),10,80,Street,8
98120,Seg.01 - Mass (<VND 25K),30,240,Street,8
98121,Seg.01 - Mass (<VND 25K),28,224,Street,8
98121,Seg.01 - Mass (<VND 25K),2,32,Independent,16
98122,Seg.01 - Mass (<VND 25K),2,14,Street,7
98123,Seg.01 - Mass (<VND 25K),5,35,Street,7
98124,Seg.01 - Mass (<VND 25K),20,140,Street,7
98279,Seg.01 - Mass (<VND 25K),6,90,Street,15
98279,Seg.02 - Mass Asp (VND 25K - VND 59K),22,660,Independent,30
98280,Seg.02 - Mass Asp (VND 25K - VND 59K),2,60,Chain,30
98280,Seg.01 - Mass (<VND 25K),18,360,Independent,20
98281,Seg.02 - Mass Asp (VND 25K - VND 59K),4,120,Street,30
98281,Seg.02 - Mass Asp (VND 25K - VND 59K),6,300,Independent,50
98282,Seg.02 - Mass Asp (VND 25K - VND 59K),4,160,Chain,40
98283,Seg.02 - Mass Asp (VND 25K - VND 59K),3,90,Independent,30
98283,Seg.01 - Mass (<VND 25K),2,40,Street,20
98284,Seg.02 - Mass Asp (VND 25K - VND 59K),30,1500,Independent,50
98285,Seg.01 - Mass (<VND 25K),10,100,Street,10
98285,Seg.02 - Mass Asp (VND 25K - VND 59K),20,600,Independent,30
98509,Seg.01 - Mass (<VND 25K),28,224,Street,8
98509,Seg.01 - Mass (<VND 25K),2,20,Independent,10
98510,Seg.01 - Mass (<VND 25K),5,35,Street,7
98511,Seg.01 - Mass (<VND 25K),3,24,Street,8
99586,Seg.01 - Mass (<VND 25K),5,40,Street,8
99664,Seg.01 - Mass (<VND 25K),20,140,Street,7
99664,Seg.01 - Mass (<VND 25K),30,300,Independent,10
99759,Seg.01 - Mass (<VND 25K),60,420,Street,7
99772,Seg.01 - Mass (<VND 25K),30,420,Independent,14
99802,Seg.01 - Mass (<VND 25K),20,160,Street,8
99802,Seg.01 - Mass (<VND 25K),10,100,Independent,10
100076,Seg.01 - Mass (<VND 25K),18,180,Street,10
100076,Seg.01 - Mass (<VND 25K),10,180,Independent,18
